date,EnBW Ladestation,EnBW Schnellladestation
2023-11-05,55,0
2023-11-12,46,0
2023-11-19,52,0
2023-11-26,59,0
2023-12-03,50,0
2023-12-10,46,0
2023-12-17,57,0
2023-12-24,86,0
2023-12-31,61,0
2024-01-07,77,0
2024-01-14,73,0
2024-01-21,38,0
2024-01-28,50,0
2024-02-04,34,0
2024-02-11,58,0
2024-02-18,51,0
2024-02-25,50,0
2024-03-03,50,0
2024-03-10,71,0
2024-03-17,59,0
2024-03-24,57,0
2024-03-31,51,0
2024-04-07,0,0
2024-04-14,34,0
2024-04-21,62,0
2024-04-28,68,0
2024-05-05,0,0
2024-05-12,0,0
2024-05-19,55,0
2024-05-26,57,0
2024-06-02,61,0
2024-06-09,50,0
2024-06-16,51,0
2024-06-23,0,0
2024-06-30,42,0
2024-07-07,67,0
2024-07-14,0,0
2024-07-21,50,0
2024-07-28,82,0
2024-08-04,54,0
2024-08-11,100,0
2024-08-18,53,0
2024-08-25,63,0
2024-09-01,49,0
2024-09-08,80,0
2024-09-15,76,0
2024-09-22,67,0
2024-09-29,76,0
2024-10-06,63,0
2024-10-13,76,0
2024-10-20,56,0
2024-10-27,68,5
2024-11-03,67,2
2024-11-10,45,0
